Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","076","Brazil","5910","Export quantity","667","Tea leaves","2024","2024","t","229.5","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","076","Brazil","5922","Export value","667","Tea leaves","2024","2024","1000 USD","1683","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5910","Export quantity","667","Tea leaves","2024","2024","t","0.16","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5922","Export value","667","Tea leaves","2024","2024","1000 USD","1","A","Official figure",""
"TCL","Crops and livestock products","100","Bulgaria","5910","Export quantity","667","Tea leaves","2024","2024","t","99.18","A","Official figure",""
"TCL","Crops and livestock products","100","Bulgaria","5922","Export value","667","Tea leaves","2024","2024","1000 USD","632","A","Official figure",""
"TCL","Crops and livestock products","854","Burkina Faso","5910","Export quantity","667","Tea leaves","2024","2024","t","26.3","A","Official figure",""
"TCL","Crops and livestock products","854","Burkina Faso","5922","Export value","667","Tea leaves","2024","2024","1000 USD","22","A","Official figure",""
"TCL","Crops and livestock products","108","Burundi","5910","Export quantity","667","Tea leaves","2024","2024","t","7407","A","Official figure",""
"TCL","Crops and livestock products","108","Burundi","5922","Export value","667","Tea leaves","2024","2024","1000 USD","14331","A","Official figure",""
"TCL","Crops and livestock products","116","Cambodia","5910","Export quantity","667","Tea leaves","2024","2024","t","4.46","A","Official figure",""
"TCL","Crops and livestock products","116","Cambodia","5922","Export value","667","Tea leaves","2024","2024","1000 USD","95","A","Official figure",""
"TCL","Crops and livestock products","120","Cameroon","5910","Export quantity","667","Tea leaves","2024","2024","t","62.56","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","120","Cameroon","5922","Export value","667","Tea leaves","2024","2024","1000 USD","58","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","124","Canada","5910","Export quantity","667","Tea leaves","2024","2024","t","3910.87","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5922","Export value","667","Tea leaves","2024","2024","1000 USD","35429","A","Official figure",""
"TCL","Crops and livestock products","148","Chad","5910","Export quantity","667","Tea leaves","2024","2024","t","0.02","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","148","Chad","5922","Export value","667","Tea leaves","2024","2024","1000 USD","1","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","152","Chile","5910","Export quantity","667","Tea leaves","2024","2024","t","96.85","A","Official figure",""
"TCL","Crops and livestock products","152","Chile","5922","Export value","667","Tea leaves","2024","2024","1000 USD","1542","A","Official figure",""
"TCL","Crops and livestock products","159","China","5910","Export quantity","667","Tea leaves","2024","2024","t","382693.67","A","Official figure",""
"TCL","Crops and livestock products","159","China","5922","Export value","667","Tea leaves","2024","2024","1000 USD","1521757","A","Official figure",""
"TCL","Crops and livestock products","344","China, Hong Kong SAR","5910","Export quantity","667","Tea leaves","2024","2024","t","1315.2","A","Official figure",""
"TCL","Crops and livestock products","344","China, Hong Kong SAR","5922","Export value","667","Tea leaves","2024","2024","1000 USD","15803","A","Official figure",""
"TCL","Crops and livestock products","446","China, Macao SAR","5910","Export quantity","667","Tea leaves","2024","2024","t","2.76","A","Official figure",""
"TCL","Crops and livestock products","446","China, Macao SAR","5922","Export value","667","Tea leaves","2024","2024","1000 USD","27","A","Official figure",""
"TCL","Crops and livestock products","156","China, mainland","5910","Export quantity","667","Tea leaves","2024","2024","t","374121.64","A","Official figure",""
"TCL","Crops and livestock products","156","China, mainland","5922","Export value","667","Tea leaves","2024","2024","1000 USD","1418933","A","Official figure",""
"TCL","Crops and livestock products","158","China, Taiwan Province of","5910","Export quantity","667","Tea leaves","2024","2024","t","7254.08","A","Official figure",""
"TCL","Crops and livestock products","158","China, Taiwan Province of","5922","Export value","667","Tea leaves","2024","2024","1000 USD","86994","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export quantity","667","Tea leaves","2024","2024","t","148.31","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export value","667","Tea leaves","2024","2024","1000 USD","2488","A","Official figure",""
"TCL","Crops and livestock products","174","Comoros","5910","Export quantity","667","Tea leaves","2024","2024","t","0.01","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","174","Comoros","5922","Export value","667","Tea leaves","2024","2024","1000 USD","0","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","178","Congo","5910","Export quantity","667","Tea leaves","2024","2024","t","33.1","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","178","Congo","5922","Export value","667","Tea leaves","2024","2024","1000 USD","155","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","188","Costa Rica","5910","Export quantity","667","Tea leaves","2024","2024","t","126.02","A","Official figure",""
"TCL","Crops and livestock products","188","Costa Rica","5922","Export value","667","Tea leaves","2024","2024","1000 USD","1325","A","Official figure",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5910","Export quantity","667","Tea leaves","2024","2024","t","790.18","A","Official figure",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5922","Export value","667","Tea leaves","2024","2024","1000 USD","193","A","Official figure",""
"TCL","Crops and livestock products","191","Croatia","5910","Export quantity","667","Tea leaves","2024","2024","t","43.6","A","Official figure",""
"TCL","Crops and livestock products","191","Croatia","5922","Export value","667","Tea leaves","2024","2024","1000 USD","829","A","Official figure",""
"TCL","Crops and livestock products","196","Cyprus","5910","Export quantity","667","Tea leaves","2024","2024","t","0.1","A","Official figure",""
"TCL","Crops and livestock products","196","Cyprus","5922","Export value","667","Tea leaves","2024","2024","1000 USD","3","A","Official figure",""
"TCL","Crops and livestock products","203","Czechia","5910","Export quantity","667","Tea leaves","2024","2024","t","1056.43","A","Official figure",""
"TCL","Crops and livestock products","203","Czechia","5922","Export value","667","Tea leaves","2024","2024","1000 USD","15370","A","Official figure",""
"TCL","Crops and livestock products","408","Democratic People's Republic of Korea","5910","Export quantity","667","Tea leaves","2024","2024","t","0.05","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","408","Democratic People's Republic of Korea","5922","Export value","667","Tea leaves","2024","2024","1000 USD","1","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","180","Democratic Republic of the Congo","5910","Export quantity","667","Tea leaves","2024","2024","t","5.14","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","180","Democratic Republic of the Congo","5922","Export value","667","Tea leaves","2024","2024","1000 USD","4","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","208","Denmark","5910","Export quantity","667","Tea leaves","2024","2024","t","532.87","A","Official figure",""
"TCL","Crops and livestock products","208","Denmark","5922","Export value","667","Tea leaves","2024","2024","1000 USD","10789","A","Official figure",""
"TCL","Crops and livestock products","212","Dominica","5910","Export quantity","667","Tea leaves","2024","2024","t","0.02","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","212","Dominica","5922","Export value","667","Tea leaves","2024","2024","1000 USD","0","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","214","Dominican Republic","5910","Export quantity","667","Tea leaves","2024","2024","t","3.48","A","Official figure",""
"TCL","Crops and livestock products","214","Dominican Republic","5922","Export value","667","Tea leaves","2024","2024","1000 USD","9","A","Official figure",""
"TCL","Crops and livestock products","218","Ecuador","5910","Export quantity","667","Tea leaves","2024","2024","t","473.27","A","Official figure",""
"TCL","Crops and livestock products","218","Ecuador","5922","Export value","667","Tea leaves","2024","2024","1000 USD","1175","A","Official figure",""
"TCL","Crops and livestock products","818","Egypt","5910","Export quantity","667","Tea leaves","2024","2024","t","4994.16","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","818","Egypt","5922","Export value","667","Tea leaves","2024","2024","1000 USD","22739","A","Official figure",""
"TCL","Crops and livestock products","222","El Salvador","5910","Export quantity","667","Tea leaves","2024","2024","t","1.34","A","Official figure",""
"TCL","Crops and livestock products","222","El Salvador","5922","Export value","667","Tea leaves","2024","2024","1000 USD","20","A","Official figure",""
"TCL","Crops and livestock products","232","Eritrea","5910","Export quantity","667","Tea leaves","2024","2024","t","0","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","232","Eritrea","5922","Export value","667","Tea leaves","2024","2024","1000 USD","0","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","233","Estonia","5910","Export quantity","667","Tea leaves","2024","2024","t","168.55","A","Official figure",""
"TCL","Crops and livestock products","233","Estonia","5922","Export value","667","Tea leaves","2024","2024","1000 USD","1639","A","Official figure",""
"TCL","Crops and livestock products","748","Eswatini","5910","Export quantity","667","Tea leaves","2024","2024","t","0.04","A","Official figure",""
"TCL","Crops and livestock products","748","Eswatini","5922","Export value","667","Tea leaves","2024","2024","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","231","Ethiopia","5910","Export quantity","667","Tea leaves","2024","2024","t","788.43","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","231","Ethiopia","5922","Export value","667","Tea leaves","2024","2024","1000 USD","1555","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","242","Fiji","5910","Export quantity","667","Tea leaves","2024","2024","t","70.58","A","Official figure",""
"TCL","Crops and livestock products","242","Fiji","5922","Export value","667","Tea leaves","2024","2024","1000 USD","513","A","Official figure",""
"TCL","Crops and livestock products","246","Finland","5910","Export quantity","667","Tea leaves","2024","2024","t","46.98","A","Official figure",""
"TCL","Crops and livestock products","246","Finland","5922","Export value","667","Tea leaves","2024","2024","1000 USD","975","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export quantity","667","Tea leaves","2024","2024","t","2936.03","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export value","667","Tea leaves","2024","2024","1000 USD","68902","A","Official figure",""
"TCL","Crops and livestock products","258","French Polynesia","5910","Export quantity","667","Tea leaves","2024","2024","t","0.11","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","258","French Polynesia","5922","Export value","667","Tea leaves","2024","2024","1000 USD","1","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","266","Gabon","5910","Export quantity","667","Tea leaves","2024","2024","t","0.08","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","266","Gabon","5922","Export value","667","Tea leaves","2024","2024","1000 USD","0","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","270","Gambia","5910","Export quantity","667","Tea leaves","2024","2024","t","130.85","A","Official figure",""
